year,doy,groundradiation,tmin,tmax,vp,windspeed,rain,RSEvap,RSTran,RSLAI,RSCut
2002,117,18.1,3,6.3,0.63,3.6,4.4,0,0,1.025,0
2002,118,18.8,2.4,10.5,0.8,2.6,1.8,0,0,1.1575,0
2002,119,12.5,4.3,10.6,0.79,2.5,8.3,0,0,1.29,0
2002,120,5.6,4.1,8.5,0.78,3,20.4,0,0,1.4,0
2002,121,5.8,4.2,8.7,0.8,2,6.6,0,0,1.5,0
2002,122,17.2,4.7,11.8,0.85,1.3,0,0,0,1.7,0
2002,123,15.1,4.3,9.9,0.8,2.7,1,0,0,1.8,0
2002,124,25.8,2.8,10.4,0.8,3.7,0,0,0,1.9,0
2002,125,24.4,3.2,14.8,0.95,2.2,0,0,0,2,0
2002,126,23.9,9.9,17.2,0.5,2.2,0,0,0,2.1,0
2002,127,22.1,8.2,17.6,0.64,1.5,0,0,0,2.2,0
2002,128,18.1,8.7,15.6,0.63,1.7,0.1,0,0,2.22,0
2002,129,19.4,8.9,20.6,0.72,1.6,0,0,0,2.6,0
2002,130,23.8,15.4,21.7,0.35,3.7,0,0,0,2.7,0
2002,131,12.7,7,21.6,1.03,3.2,22.4,0,0,2.9,0
2002,132,25,6.2,11.3,0.71,2.8,3.8,0,0,3,0
2002,133,23,5,13.9,0.7,1.4,0,0,0,3.3,0
2002,134,6.3,9.1,15.9,0.7,2.8,2.5,0,0,3.6,0
2002,135,10.9,8.8,11,0.67,2.5,1.1,0,0,4.16,0
2002,136,17.4,8.2,12.1,0.73,2.7,0.6,0,0,4.6,0
2002,137,24.5,7.2,14.3,0.83,3.2,0,0,0,5,0
2002,138,27.7,7.2,14.1,0.84,1.4,0,0,0,5.5,0
2002,139,5.3,8.8,13.9,0.63,1.5,0.6,0,0,6,0
2002,140,21.6,8.7,17.6,0.86,1.7,0,0,0,6.5,0
2002,141,17.1,12.3,19,0.66,2.9,0,0,0,7,0
2002,142,15.3,12.3,22.1,0.72,3.2,8.5,0,0,7.5,0
2002,143,12.7,10,16.2,0.85,1,17.9,0,0,8.28,0
2002,144,18.5,9.3,15.8,0.8,1.9,3.9,0,0,8.4,0
2002,145,14.6,9.9,13.1,0.68,1.9,0.6,0,0,8.6,0
2002,146,18.4,9.1,16,0.74,1.7,2.6,0,0,8.8,0
2002,147,19.3,10.2,16.6,0.72,1.6,1.6,0,0,9,0
2002,148,15.9,9.9,16.2,0.8,0.8,0.5,0,0,9.4,0
2002,149,16.9,9.5,17.2,0.79,1.7,2.1,0,0,9.8,0
2002,150,22.3,9.1,13.9,0.76,2.1,0.1,0,0,10.42,1
